id,difficulty,title,description,template,test_input,expected_output
1,easy,Sum of Two Numbers,Write a function that returns the sum of two numbers.,"def sum_two(a, b):
    # Your code here
    pass","[3,5]",8
2,easy,Difference of Two Numbers,Write a function to subtract two numbers.,"def difference(a, b):
    # Your code here
    pass","[8,3]",5
3,easy,Multiply Two Numbers,Write a function to multiply two numbers.,"def multiply(a, b):
    # Your code here
    pass","[3,7]",21
4,easy,Check Even Number,Check if a number is even.,"def is_even(n):
    # Your code here
    pass",4,True
5,easy,Return First Element,Return the first element from a list.,"def first_element(lst):
    # Your code here
    pass","[1,2,3]",1
6,easy,String Length,Return the length of a string.,"def str_length(s):
    # Your code here
    pass","""hello""",5
7,easy,Find Maximum,Return max from a list.,"def find_max(lst):
    # Your code here
    pass","[4,9,2]",9
8,easy,Add 10 to Number,Add 10 to the given number.,"def add_ten(n):
    # Your code here
    pass",5,15
9,easy,Reverse List,Return the reversed list.,"def reverse_list(lst):
    # Your code here
    pass","[1,2,3]","[3,2,1]"
10,easy,Concatenate Strings,Concatenate two strings.,"def concat_str(a,b):
    # Your code here
    pass","""a"",""b""","""ab"""
11,easy,Is Positive,Return True if the number is positive.,"def is_positive(n):
    # Your code here
    pass",3,True
12,easy,Square Number,Return the square of a number.,"def square(n):
    # Your code here
    pass",4,16
13,easy,Check Odd Number,Check if a number is odd.,"def is_odd(n):
    # Your code here
    pass",5,True
14,easy,Sum of List,Return the sum of a list.,"def sum_list(lst):
    # Your code here
    pass","[1,2,3]",6
15,easy,Minimum of List,Return the minimum from a list.,"def min_list(lst):
    # Your code here
    pass","[5,2,8]",2
16,easy,String to Uppercase,Convert a string to uppercase.,"def to_upper(s):
    # Your code here
    pass","""abc""","""ABC"""
17,easy,Count Elements,Return the number of elements in a list.,"def count_elements(lst):
    # Your code here
    pass","[1,2,3,4]",4
18,easy,Product of List,Return the product of all elements in a list.,"def product_list(lst):
    # Your code here
    pass","[2,3,4]",24
19,easy,Join List into String,Join list of strings into a single string.,"def join_strings(lst):
    # Your code here
    pass","[""a"",""b"",""c""]","""abc"""
20,easy,Remove Duplicates,Remove duplicates from a list.,"def remove_duplicates(lst):
    # Your code here
    pass","[1,2,2,3]","[1,2,3]"
21,medium,Fibonacci Generator,Return the nth Fibonacci number.,"def fibonacci(n):
    # Your code here
    pass",7,13
22,medium,Palindrome Check,Check if a string is palindrome.,"def is_palindrome(s):
    # Your code here
    pass","""level""",True
23,medium,Factorial,Return the factorial of n.,"def factorial(n):
    # Your code here
    pass",5,120
24,medium,Count Vowels,Count the vowels in a string.,"def count_vowels(s):
    # Your code here
    pass","""aeiou""",5
